Month,dlog_CPI,dlog_CGPI_Dwelling,OCR,2YearFixedRate,unemployment_rate
2025-07-01,0.0033443304797790806,0.0005704796190912125,3.058699097797041,5.510090801606561,5.859716735590646
2025-08-01,0.0033819927910325497,0.0005371229647199999,2.8635040180941376,5.428829119830572,5.919213644621352
2025-09-01,0.0034196566319458052,0.0005037727611589467,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-10-01,0.0034573220203040753,0.0004704290762171675,2.4618022710897236,5.262406998702709,6.037420453100641
2025-11-01,0.003494988973088868,0.000437091974493992,2.255486727862391,5.177327881419138,6.096066728538998
2025-12-01,0.0035326575064667967,0.00040376151733608823,2.0456591647274736,5.091058885717173,6.154365963618709
2026-01-01,0.003570327635778818,0.0003704377627962104,1.8324205893388115,5.003642559471721,6.21228656427971
2026-02-01,0.003607999375529874,0.0003371207655935954,1.6158741016193585,4.915122168446694,6.269797054435368
2026-03-01,0.0036456727393789595,0.00030381057707603546,1.3961248440587475,4.825541675139953,6.326866093057325
2026-04-01,0.003683347740129612,0.0002705072451836506,1.1732799507984237,4.734945717202666,6.383462491232055
2026-05-01,0.0037210243897208353,0.0002372108144143838,0.9474484955282968,4.643379585443492,6.439555229179973
2026-06-01,0.0037587026992184584,0.00020392132579124302,0.7187414382195516,4.550889201428235,6.495113473227966
