Month,Area,Median_Price
2018-08,AucklandRegion,850000
2018-09,AucklandRegion,846000
2018-10,AucklandRegion,861000
2018-12,AucklandRegion,860000
2019-01,AucklandRegion,805000
2019-02,AucklandRegion,851000
2019-03,AucklandRegion,855000
2019-04,AucklandRegion,847000
2019-05,AucklandRegion,850000
2019-06,AucklandRegion,850000
2019-07,AucklandRegion,825000
2019-08,AucklandRegion,818000
2019-09,AucklandRegion,848000
2019-10,AucklandRegion,868000
2019-11,AucklandRegion,885000
2019-12,AucklandRegion,886000
2020-01,AucklandRegion,872000
2020-02,AucklandRegion,885000
2020-03,AucklandRegion,945000
2020-04,AucklandRegion,925000
2020-05,AucklandRegion,904500
2020-06,AucklandRegion,928000
2020-08,AucklandRegion,949500
2020-09,AucklandRegion,955000
2020-10,AucklandRegion,1000000
2020-11,AucklandRegion,1030000
2020-12,AucklandRegion,1025000
2021-01,AucklandRegion,995000
2021-02,AucklandRegion,1100000
2021-03,AucklandRegion,1125000
2021-04,AucklandRegion,1120000
2021-05,AucklandRegion,1150000
2021-06,AucklandRegion,1150000
2021-07,AucklandRegion,1165000
2021-08,AucklandRegion,1200000
2021-09,AucklandRegion,1140000
2021-10,AucklandRegion,1249000
2021-11,AucklandRegion,1300000
2021-12,AucklandRegion,1280000
2022-01,AucklandRegion,1200000
2022-02,AucklandRegion,1190000
2022-03,AucklandRegion,1200000
2022-04,AucklandRegion,1170500
2022-05,AucklandRegion,1110000
2022-06,AucklandRegion,1142500
2022-07,AucklandRegion,1085000
2022-08,AucklandRegion,1100000
2022-09,AucklandRegion,1036000
2022-10,AucklandRegion,1079000
2022-11,AucklandRegion,1060000
2022-12,AucklandRegion,1035000
2023-01,AucklandRegion,943000
2023-02,AucklandRegion,1000000
2023-03,AucklandRegion,1000000
2023-04,AucklandRegion,990000
2023-05,AucklandRegion,995000
2023-06,AucklandRegion,1000000
2023-07,AucklandRegion,990000
2023-08,AucklandRegion,1000000
2023-09,AucklandRegion,1025000
2023-10,AucklandRegion,1045000
2023-11,AucklandRegion,1051000
2023-12,AucklandRegion,1045000
2024-01,AucklandRegion,970000
2024-02,AucklandRegion,1015000
2024-03,AucklandRegion,1070000
2024-04,AucklandRegion,1042000
2024-05,AucklandRegion,1010000
2024-06,AucklandRegion,1025000
2024-07,AucklandRegion,950000
2024-08,AucklandRegion,952000
2024-09,AucklandRegion,970000
2024-10,AucklandRegion,1000000
2024-11,AucklandRegion,1027000
2024-12,AucklandRegion,1006000
2025-01,AucklandRegion,949000
2025-02,AucklandRegion,1002000
2025-03,AucklandRegion,1040000
2025-04,AucklandRegion,1000000
2025-05,AucklandRegion,980000
2025-06,AucklandRegion,990000
2025-07,AucklandRegion,970000
2025-08,AucklandRegion,950000
2025-09,AucklandRegion,975000
