Year,Waitemata,Whau,AlbertEden,Puketapapa,Orakei,MaungakiekieTamaki,AucklandCity
2006,66600.0,73100.0,96200.0,53900.0,78400.0,70400.0,438600.0
2007,68900.0,73600.0,96700.0,54300.0,78800.0,70700.0,443000.0
2008,71200.0,74000.0,96900.0,54400.0,79300.0,71100.0,446900.0
2009,73500.0,74600.0,97600.0,54800.0,80000.0,71600.0,452100.0
2010,75500.0,75400.0,98400.0,55100.0,80800.0,72100.0,457300.0
2011,77100.0,76000.0,99400.0,55700.0,81800.0,72900.0,462900.0
2012,78500.0,76300.0,100100.0,56100.0,82700.0,73300.0,467000.0
2013,81300.0,76700.0,100000.0,56300.0,83700.0,73700.0,471700.0
2014,82200.0,78200.0,100800.0,57300.0,84700.0,74800.0,478000.0
2015,83500.0,79700.0,101500.0,58300.0,85700.0,76000.0,484700.0
2016,85700.0,81400.0,102500.0,59300.0,86600.0,77800.0,493300.0
2017,87300.0,82800.0,103400.0,60100.0,87400.0,79200.0,500200.0
2018,88500.0,84100.0,103700.0,60900.0,87700.0,80500.0,505400.0
2019,90800.0,84900.0,103500.0,61200.0,88000.0,81600.0,510000.0
2020,92500.0,85300.0,103600.0,61600.0,89300.0,82100.0,514400.0
2021,89400.0,84000.0,101300.0,59800.0,88100.0,81100.0,503700.0
2022,85900.0,83100.0,99100.0,58500.0,86100.0,80300.0,493000.0
2023,87600.0,87000.0,101500.0,61000.0,86900.0,83400.0,507400.0
2024,89200.0,89900.0,102900.0,62400.0,87100.0,86700.0,518200.0
2025,88900.0,91300.0,102900.0,63200.0,86800.0,88100.0,521200.0
