Year,Hibiscus_and_Bays,UpperHarbour,Kaipatiki,DevonportTakapuna,NorthShore
2006,85200.0,45100.0,83600.0,55700.0,269600.0
2007,86400.0,47200.0,83900.0,56100.0,273600.0
2008,87300.0,48900.0,84300.0,56200.0,276700.0
2009,88300.0,50100.0,84800.0,56500.0,279700.0
2010,89300.0,51400.0,85600.0,57000.0,283300.0
2011,90600.0,53100.0,86500.0,57500.0,287700.0
2012,91800.0,54900.0,87300.0,57900.0,291900.0
2013,94000.0,56800.0,87000.0,58500.0,296300.0
2014,96400.0,58200.0,88000.0,58800.0,301400.0
2015,99000.0,60600.0,89100.0,59300.0,308000.0
2016,102100.0,62900.0,90400.0,59700.0,315100.0
2017,105600.0,64900.0,91900.0,60100.0,322500.0
2018,108500.0,66800.0,92900.0,60500.0,328700.0
2019,111400.0,70500.0,93100.0,60600.0,335600.0
2020,114900.0,74500.0,93100.0,61200.0,343700.0
2021,115600.0,76000.0,91300.0,60400.0,343300.0
2022,115700.0,77300.0,89600.0,59300.0,341900.0
2023,118600.0,81600.0,92800.0,60500.0,353500.0
2024,120400.0,83700.0,94600.0,61200.0,359900.0
2025,121100.0,84500.0,95600.0,61100.0,362300.0
