Year,HendersonMassey,WaitakereRanges,Waitakere
2006,103700.0,47500.0,151200.0
2007,105000.0,47800.0,152800.0
2008,106300.0,47900.0,154200.0
2009,107900.0,48300.0,156200.0
2010,109500.0,48700.0,158200.0
2011,111100.0,49300.0,160400.0
2012,112300.0,49900.0,162200.0
2013,113500.0,50700.0,164200.0
2014,115800.0,51400.0,167200.0
2015,118200.0,52100.0,170300.0
2016,120500.0,52800.0,173300.0
2017,122700.0,53600.0,176300.0
2018,124600.0,54200.0,178800.0
2019,126500.0,54700.0,181200.0
2020,128400.0,55500.0,183900.0
2021,127700.0,55500.0,183200.0
2022,127200.0,55200.0,182400.0
2023,132600.0,56000.0,188600.0
2024,136800.0,56700.0,193500.0
2025,139200.0,56900.0,196100.0
