feature,mean_abs_shap
num__weeklyrent,0.0187435005269211
num__RealMortgageRate,0.017582242024034994
num__log_sales_count,0.013789921107914962
num__log_sales_count_lag1,0.013327859158719512
cat__District_NorthShore,0.013326368996018722
num__log_sales_count_lag3,0.01106155472199642
cat__District_Waitakere,0.011025273833616758
num__RealMortgageRate_lag1,0.010726780732938332
num__log_sales_count_lag6,0.010183547817111099
num__log_sales_count_lag9,0.009164748149979378
num__log_sales_count_lag12,0.00826688882826989
cat__District_Rodney,0.005578893252520727
num__OCR_lag9,0.0051089174601827705
cat__District_Manukau,0.004506224994755231
num__OCR_lag12,0.004332602659859889
num__RealMortgageRate_lag3,0.004267994577292635
num__Net_migration_monthly,0.004114930686093315
num__OCR_lag6,0.0038697428211313723
num__CGPI_Dwelling_lag12,0.003766398542135266
cat__District_AucklandCity,0.003553287514285084
cat__District_Papakura,0.003519716456668852
num__unemployment_rate_lag9,0.0030181998723288273
num__unemployment_rate_lag6,0.002930191066372075
num__RealMortgageRate_lag12,0.002701991685140432
num__log_Consents,0.002526880609331115
num__CGPI_Dwelling_lag9,0.0025119240230128946
num__log_Consents_lag1,0.0021144926438132756
num__log_Consents_lag3,0.002093131346597766
num__CGPI_Dwelling_lag6,0.001964870349454477
num__unemployment_rate_lag12,0.0018870346945687893
num__CGPI_Dwelling_lag3,0.0018015432419122073
num__RealMortgageRate_lag6,0.0016976320480318295
num__CGPI_Dwelling_lag1,0.0016032767457236775
num__CGPI_Dwelling,0.0015475589329097769
num__log_Consents_lag6,0.0014862968285346495
num__RealMortgageRate_lag9,0.0013870201661601474
num__OCR_lag3,0.0011629726720421682
num__log_Consents_lag9,0.0006203856615265843
cat__District_Franklin,0.0006164034179362758
num__unemployment_rate,0.0005445341847076287
num__OCR_lag1,0.0005312807697467781
num__OCR,0.0005288627255371115
num__log_Consents_lag12,0.0004693329763702025
num__unemployment_rate_lag3,0.0003805994664034968
num__unemployment_rate_lag1,0.00036007871849980425
